target,model,fold,test_groups,fold_start,fold_end,positive_rate,model_config
target_a_30d_loss_gt_20,random_forest,7,1-4,2020-06-05,2024-02-02,0.0208333333333333,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,random_forest,8,1-5,2020-06-05,2024-12-27,0.0210526315789473,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,random_forest,9,2-3,2021-05-07,2023-03-03,0.15625,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,random_forest,10,2-4,2021-05-07,2024-02-02,0.0416666666666666,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,random_forest,11,2-5,2021-05-07,2024-12-27,0.0421052631578947,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,random_forest,12,3-4,2022-04-08,2024-02-02,0.1145833333333333,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,random_forest,13,3-5,2022-04-08,2024-12-27,0.1157894736842105,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,random_forest,14,4-5,2023-03-10,2024-12-27,0.0,target_a_30d_loss_gt_20__random_forest
target_a_30d_loss_gt_20,gradient_boosting,0,0-1,2019-07-05,2021-04-30,0.0729166666666666,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,1,0-2,2019-07-05,2022-04-01,0.09375,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,2,0-3,2019-07-05,2023-03-03,0.1666666666666666,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,3,0-4,2019-07-05,2024-02-02,0.0520833333333333,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,4,0-5,2019-07-05,2024-12-27,0.0526315789473684,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,5,1-2,2020-06-05,2022-04-01,0.0625,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,6,1-3,2020-06-05,2023-03-03,0.1354166666666666,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,7,1-4,2020-06-05,2024-02-02,0.0208333333333333,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,8,1-5,2020-06-05,2024-12-27,0.0210526315789473,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,9,2-3,2021-05-07,2023-03-03,0.15625,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,10,2-4,2021-05-07,2024-02-02,0.0416666666666666,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,11,2-5,2021-05-07,2024-12-27,0.0421052631578947,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,12,3-4,2022-04-08,2024-02-02,0.1145833333333333,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,13,3-5,2022-04-08,2024-12-27,0.1157894736842105,target_a_30d_loss_gt_20__gradient_boosting
target_a_30d_loss_gt_20,gradient_boosting,14,4-5,2023-03-10,2024-12-27,0.0,target_a_30d_loss_gt_20__gradient_boosting
target_b_60d_loss_gt_30,logistic_regression,0,0-1,2019-07-05,2021-04-30,0.03125,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,2,0-3,2019-07-05,2023-03-03,0.09375,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,3,0-4,2019-07-05,2024-02-02,0.03125,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,4,0-5,2019-07-05,2024-12-27,0.031578947368421,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,5,1-2,2020-06-05,2022-04-01,0.0729166666666666,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,6,1-3,2020-06-05,2023-03-03,0.0625,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,7,1-4,2020-06-05,2024-02-02,0.0,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,8,1-5,2020-06-05,2024-12-27,0.0,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,9,2-3,2021-05-07,2023-03-03,0.1354166666666666,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,10,2-4,2021-05-07,2024-02-02,0.0729166666666666,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,11,2-5,2021-05-07,2024-12-27,0.0736842105263157,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,12,3-4,2022-04-08,2024-02-02,0.0625,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,13,3-5,2022-04-08,2024-12-27,0.0631578947368421,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,logistic_regression,14,4-5,2023-03-10,2024-12-27,0.0,target_b_60d_loss_gt_30__logistic_regression
target_b_60d_loss_gt_30,elastic_net_logistic,0,0-1,2019-07-05,2021-04-30,0.03125,target_b_60d_loss_gt_30__elastic_net_logistic
target_b_60d_loss_gt_30,elastic_net_logistic,2,0-3,2019-07-05,2023-03-03,0.09375,target_b_60d_loss_gt_30__elastic_net_logistic
