strategy,family,cost_bps,performance_basis,development_start,development_end,development_CAGR,development_Sharpe,development_Sortino,development_Calmar,development_Annualized Volatility,development_Maximum Drawdown,development_Annual Turnover,development_Turnover,development_Exposure,development_Cash Allocation,development_Worst Month,development_Best Month,development_Hit Rate,development_Average Holdings,development_Transaction Costs,holdout_start,holdout_end,holdout_CAGR,holdout_Sharpe,holdout_Sortino,holdout_Calmar,holdout_Annualized Volatility,holdout_Maximum Drawdown,holdout_Annual Turnover,holdout_Turnover,holdout_Exposure,holdout_Cash Allocation,holdout_Worst Month,holdout_Best Month,holdout_Hit Rate,holdout_Average Holdings,holdout_Transaction Costs
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,0,exact_gross_0bps_no_transaction_costs,2020-01-01,2024-12-31,0.23367038313569988,0.6828582708857097,0.6355375098972285,0.31924323725923326,0.5049112863428101,-0.7319509260143038,11.087848932676518,0.030377668308702793,0.49808429118773945,0.5019157088122606,-0.4315296683649067,0.44949275810729517,0.34099616858237547,1.2873563218390804,0.0,2025-01-01,2026-06-22,0.28293248521147074,1.0661186418952293,1.3568630970705124,1.585563450307555,0.26599737015038805,-0.17844286531490727,10.176579925650557,0.027881040892193308,0.2894981412639405,0.7105018587360594,-0.05667645626887219,0.24768001831585984,0.23048327137546468,0.8847583643122676,0.0
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,10,net_after_transaction_costs,2020-01-01,2024-12-31,0.2201064654477778,0.660976233716512,0.6233490520762509,0.2992369849959331,0.5048517359448262,-0.7355590267385204,11.087848932676518,0.030377668308702793,0.49808429118773945,0.5019157088122606,-0.4320897947253527,0.44949275810729517,0.3399014778325123,1.2873563218390804,0.05550000000000001,2025-01-01,2026-06-22,0.2699382168428921,1.027743623907195,1.3040997384988156,1.4956833759602872,0.2660276052575855,-0.1804781822018856,10.176579925650557,0.027881040892193308,0.2894981412639405,0.7105018587360594,-0.057686720710772965,0.246415793598165,0.23048327137546468,0.8847583643122676,0.015
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,25,net_after_transaction_costs,2020-01-01,2024-12-31,0.20002605127253803,0.6281168905695268,0.5934409935427069,0.2699829367588655,0.5047837916339928,-0.7408840487248671,11.087848932676518,0.030377668308702793,0.49808429118773945,0.5019157088122606,-0.4329294666098096,0.44949275810729517,0.33880678708264916,1.2873563218390804,0.13875,2025-01-01,2026-06-22,0.2506806098543801,0.9700672636549106,1.2341802107524358,1.3610143521675673,0.26610866572870884,-0.1841866027754544,10.176579925650557,0.027881040892193308,0.2894981412639405,0.7105018587360594,-0.05983982286898448,0.2445206579453003,0.23048327137546468,0.8847583643122676,0.037500000000000006
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,50,net_after_transaction_costs,2020-01-01,2024-12-31,0.1672549417809055,0.5732668639700705,0.5427061960311421,0.22314598108501874,0.5047275910481621,-0.7495314993693805,11.087848932676518,0.030377668308702793,0.49808429118773945,0.5019157088122606,-0.43432753933400514,0.44949275810729517,0.33825944170771755,1.2873563218390804,0.2775,2025-01-01,2026-06-22,0.21919863958320418,0.8737059236516569,1.1147308422363915,1.151636015111534,0.2663388779734986,-0.19033673548493113,10.176579925650557,0.027881040892193308,0.2894981412639405,0.7105018587360594,-0.06342103525723375,0.24136530232033437,0.22862453531598512,0.8847583643122676,0.07500000000000001
btc_eth_macro_gate_balanced,BTC/ETH/cash macro risk gate,100,net_after_transaction_costs,2020-01-01,2024-12-31,0.10424682678550146,0.4633337130161947,0.4405361822065785,0.13475635641285824,0.5048291372827213,-0.7735948756741124,11.087848932676518,0.030377668308702793,0.49808429118773945,0.5019157088122606,-0.4371185082202741,0.44949275810729517,0.3366174055829228,1.2873563218390804,0.555,2025-01-01,2026-06-22,0.15847516496273428,0.6805756374853622,0.8712961436852513,0.7825043815075569,0.26715466399550514,-0.20252303847477415,10.176579925650557,0.027881040892193308,0.2894981412639405,0.7105018587360594,-0.07055615970418216,0.23506660530718304,0.22676579925650558,0.8847583643122676,0.15000000000000002
